,Prof,Lec,Star,Reviews
21,김범수,일본어기초,3,수업중엔 일본어 뿐만 아니라 교수님 기분까지 헤아려야하는 기적의 수업
22,전병국,러시아어기초,5,외국어를 당장 배워 써먹기위한 공부가 아님 애초에 4개월로는 부적한 기간이기도 하고 수업의 목적은 러시아의 관심을 유도하는 것에 있고 무엇보다 중요한 것은 교수님은 편견없이 교수던 학생이던 똑같은 위치선상에 있다고 생각하시고 언제든 질문할거하고 지적할거 하라고 하심 그리고 과제는 하나밖에 없는데 그냥 알파벳 받아쓰기임 애초에 이걸 안하면 공부자체가 어려워지기에 없는거나 다름없음 결론은 러시아어라서 어렵겠지하며 후진기어넣지말고 속는셈 치고 수강해보는걸 추천 인간적으로도 훌륭하신 교수님임
23,김태웅,대학기초화학,4,좋게말하면 열정이 많고 나쁘게말하면 풀강때리시는교수님...과제 낼때 학생들 배려하려고 고민하는 모습에 갬동...
24,오득균,환경과에너지,4,정말 딱 하라는 것만 하면 눈 앞에 학점이 와있음정말 추천합니다
25,권만용,역사의고전,4,교수님 정말 좋으시고 학생들을 위하는게 눈에 보임과제는 다른 역고수업들과 동일하게 이루어짐 비평문 첨삭때도 최대한 잘했다고 칭찬해주심시험출제방식은 조금 당황스러웠지만 정말 최고의 교수님
26,현종윤,기초통계학,1,돌아보지말고 떠나가라~ 이 강의 찾지말고 살아가라~
27,박선화,기초영어문장학습,5,"진짜이런게 개꿀교양. 내용은 워낙 쉬운 내용이라서 오히려 심하게 헷갈릴때도 있지만 정말 기초영어문법을 다루고, 기초영어문법을 다룬다고 시험이 쉽다고 생각하면은 큰 오산임. 이러닝을 매주 들었으면 충분히 하루도 가능하지만, 하나도 안듣고 하루 전에 벼락치기 했다가는 정말 큰코 다칠듯.매주 이러닝만 꼬박 들었고 기영문 시험 치기 전에 전공 시험 두개 치고 바로 들어가야 해서 시험기간에는 별로 못함. 중간 86, 기말 76 나왔는데 A+ 뜸. 컷이 생각보다 매우 낮은 편이니까 조금만 하시면 학점 잘나옵니다~"
28,강현미,피부와이미지,4,기말전에 로션이랑 향수도 만들고 시험도 단순암기라 좋아요!
29,안미영,글쓰기,5,"글쓰기 수업을 수강해야한다면 꼭 안미영 교수님으로 들으셨으면 좋겠어요.. 항상 수업이 모든 중심을 학생의 관점으로 주도하셔서 부담감도 적고, 재밌는 활동 (영화보기 등)도 합니다. 매번 과제할 때마다 꼼꼼하게 피드백 해주시고, 중간고사 대체로 논문작성을 하는데 그 때도 정말 조원 개개인을 꼼꼼하게 봐주셔서 많은 도움을 받을 수 있었습니다. 꼭 글쓰기 들어야하면 수강신청은 무조건 이 수업으로 들으세요 완전 추천해요..!수업도 최대한 일찍 마쳐주려고 해주시고, 단점은 찾기 정말 힘든 수업입니다! 다른 수업으로 또 뵙고 싶을 정도예요!"
30,박선화,기초영어문장학습,5,"과목명에 맞게 기초영어를 중심으로 수업해주십니다. 문장학습이다보니 문법을 위주로 수업이 진행됩니다.교수님께서 최대한 쉽게 설명을 해주시려 하시고, 반복적으로 해주시다보니 이해가 더 잘되는 것 같습니다.질의응답도 'TLS 질의응답 게시판'에 올리면 빠르게 답변 주시고, 피드백도 좋아요. 직접 찾아가서 질문해도 언제든지 받아주십니다.과제는 학기말에 교재검사인데, 사실상 중간/기말고사 공부를 위해서 어차피 해야되는 부분이니까 좋은 것 같아요. 수업 들으면서 필기하고, 워크북 부분도 꼼꼼하게 풀면 좋아요.정기고사는 워크북에서 그대로 나오거나, 변형되서어 나오는 유형이 있습니다. 수강생이 많아 객관식이라서 부담은 적어요."
31,임병우,면역학개론,4,양 개애애애ㅐ많음 진짜 책한권 한학기에 다끝냄... 후... 중간은 그래도 쉬운데 기말은...에휴...그리고 논문 요약 2번있는데  2번 중 한번 2분 발표있어영
32,전병국,실용러시아어읽기,5,교수님 넘 좋아요ㅠㅠ 못따라오는 학생없게.천천히.알려주시고 어려운거있으면 몇번 더 설명해줘영! 그리고 교수님 말 짱많아여  교수님 tmi 다 들응수있움ㅋㅋㅋㅋㅋㅋ
33,윤소미,운동과다이어트,3,4주차때부터 체육관가서 수업하는데  제가 내성적인 사람이여서 좀 힘들었습니다ㅏ.. 모르는사람이랑 같이 운동해야되구 ㅠ 그리고 중간고사 안보는대신에 과제있고 기말 때는 조짜서(겨수님이 대신짜줌) 실기시험보고 필기시험 또 따로봅니다..!
34,박종석,운동과건강관리,3,"시험은 쉬운듯 쉽지않음..  시험점수 0.1점으로 학점 나뉨 그리고 시험점수 엄청늦게알려줌 진짜 ,,, 중간끝나고 3~4주뒤에 알려쥼..."
35,전흥석,핼스케어앱창업,5,전흥석 교수님도 괜찮았고 남영호교수님은 원래 경영학과 전공수업 창업론에서도 사업계획서 발표도 깐깐하신 분인데 그래도 패논패니까 편하게 들을수 있음
36,다니엘베일리,영어발표와토론,3,자잘한과제들이 좀있지만 교수님이 수업에 열정적이심
37,황선민,프로그래밍활용,2,프로그래밍수업이 아니라 모듈사용법을배우는 기분이에요
38,한인송,꽃의세계,3,교수님은 정말 열심히 강의하시는데  꽃에 대해서 추가적으로 설명하실 때 시간을 꽤 잡아먹으심시험자체는 객관식+주관식이라 생각보다 그렇게 어렵지는않음
39,정윤희,마케팅,2,외향적이고 리드하기 좋아하는 사람에게는 좋지만 내성적인 사람에겐 최악임. 발표를 중요하게 생각하시고 이를 점수에 적극 반영하셔서 시험 잘 봐도 수업 도중에 질문이나 참여가 적으면 점수 못 받음. 게다가 팀을 짜서 매 시간마다 토의하고 그 결과를 발표해야하는데  이게 제일 최악인듯. 내성적인 사람에겐 비추
40,권만용,역사의고전,5,교수님은 되게 좋으신분인데 학생의 편의를 너무 봐주시려함 그래도 좋음 따뜻하신분
41,박영진,미생물의세계,5,윾ㅡ쾌 수업마다 계속 농담같은거 던지셔서 지루한감은 없었음
42,홍성화,한국고중세사특강,4,그냥 역사 특강듣는거임 근데 난 역사못해서 성적망함 그래도 과제도 없고 교수님도 괜첞음
43,주진희,녹색환경시스템개론,5,교수님 수업스타일이 딱히 졸린편은 아님 왜냐하면 판서가 많아서임 그래도 좋음
44,강태봉,대학기초생물학,5,이게 교수님이다 항상 수업전에 최신뉴스기사를 가져와 수업과 연관지어 설명하시고 이해를 도와주신다
45,김병건,언어의세계,3,사실 수업 내용이 너무어려워서 지루하긴했지만 시험은 정말 괜찮았습니다 학점따기는 수월할 것같아요
46,김범수,환경과미래,4,좀 지루한게 단점이긴 한데 공부 좀만 하면 시험은 어렵지 않아요 피피티 양 많습니다
47,백우진,인공지능의이해,4,내용도 나쁘지 않고 어렵지도 않아요.. 다만 퀴즈 좀 말장난 하는것들 있어서 잘 보시고 풀어야 해요
48,이효숙,글쓰기,5,글쓰기를 듣는다면 꼭 교수님 수업을 들었으면 한다.
49,노영희,주제전문사서종합설계,3,캡스톤 2라는 말이 딱 맞습니다.. 완전히 조별과제활동이고 조원 잘 만나셔야 수월합니다
50,최원태,색인초록조직론,4,수업 잘 듣고 책 내용 요약해주시는 부분만 읽고 외우면 무난합니다
51,전흥석,핼스케어앱창업,2,"전흥석?교슈님은 좋암ㅅ는데 그 뒤 교수님 정말 별류,,,기말때 사업계획서 쓰고 발표하는데 ㄹㅇ 깐깐함... 전공발표도 이렇게 깐깐하지않음..."
52,임병우,면역학개론,2,중간때 아무말 없어서 시험시간 풀로 주는줄 알고 꼼꼼히 푸는데 갑자기 시험시간 공지함 갑자기 20분남음문제지랑 답지 둘다 주는데 문제지랑 답지 아무대나 써도 된다면서 문제지에 서술형 쓸 공간없음. 본인 늦게확인해서 다 옮겨씀. 제출하래서 못채운거 그냥 내고 봤더니 안내고 끝까지 쓰고있는 애들 10명정도 있는데도 제출하라고 말만하고 아무런 행동도 안함. 자기가 쓴 책으로 하는데 가끔 틀린거 있어서 궁금한거랑 같이 모아가서 한번 여쭤봤더니 얼버무리다가 이상한 대답하심. 수업진행은 다대일인데도 반말로 하심. 과제는 논문 2개 요약하고 3분발표. 본인이 느끼기에 수업은 좋아도 교수는 별로였음.
53,최만호,정보통신테크놀로지,4,시험을....배운게아니라컴활에서내시는데 변별력도 없고...컴맹은 슬프고....교수님은 정말 좋으신분...!
54,강정아,자료조직(목록),1,나교수니임 돌아오세요오오ㅓㅓㅓ아아아ㅏㅏ 이교수님 항상 믿거였는데...전필이라니....전필이라니이 이교수님 특 시험전주에 조별과제내줌.공지도 미리 안해줌...
55,김태웅,대학기초화학,3,일찍 끝내주신다는 말 믿지마요... 절대 그렇게 안 끝내주심.출결 중요하게 생각해요. 쉬는시간 마다 인원체크해서 초반이랑 다르면 종이에 학번을 쓰게 하십니다. 목소리 크셔서 뒷자리에서도 강의 들을 수 있긴한데 잘 가르치는 건 잘 모르겠고 화학 하셨으면 시험은 쉽게 볼 수 있어요. 화학을 안했다 하더라도 각 장마다 빨간문제정도 풀면 무난하게 점수나와요
56,김영준,미래의과학,4,이러닝이라 그냥 틀어놓고 나중에 피피티 올려주신거 보면 됩니다
57,이장웅,동아시아문화사,2,듣는 사람도 별로 없는 듯 한데 강의실만 엄청 큰 거 잡아서 목소리 마이크 써도 잘 안 들리고 피피티 너무 글 많고 복잡하고 이해하지 않는 이상 힘들고 발표도 10분 15분 한 사람당 시키고 질문도 완전 빡세고 ... 준비 잘 해가야 할 것 같다는 느낌이 들었어요 시험은 기말에 한번 봐요
58,장인철,세계문화연구,4,교수님 재밌고 학생들 이름 거의 다 외워주셔서 친근한 느낌?? 근데 과제 두 개 정도 있고 기말 보고서는 TLS에 제출해도 종이로 복사해서 내야 하고 중간고사 끝나고 기말 다가올 때쯤에 국가 발표 조 별로 앉아서 토론 하고 발표하는 거 해요... 시험은 중간고사는 통째로 외워야 해서 일주일 전부터 하면 암기 잘하시는 분 말고는 일주일 전부터는 절대 못해요 ㅠ  기말 때는 응용으로 나온다니까 더 힘들 것 같고... 시험 어려운 거나 조별 앉아서 토론 발표 빼고는 다 좋아요 !
59,김창호,대학수학,2,과제 개 먾음 과제때문에 다룬 거 못함 교수님도 문제풀다가 몰라서 넘어감
60,박선화,KUGEP2,5,수업시간에 필기 잘하고 단어시험 잘보고 교수님께서 수업중에 시험문제나올거 알려주시는데 거기서 다나와요 성실히하면 A+ 나오는 강의입니다
61,이연주,발표와토론,3,힘들어요 하는게 너무 많아요  학점도 따기 힘들어요
62,김현주,교육학개론,5,시험은 둘째 치고 진짜 제대로 배워가는 수업인 것 같았어요 교수님 너무 깔끔하게 수업 잘 해주시고 제 최애 교수님 등극하심
63,이재숙,진로설정과경력개발,2,진로 관련 과목인만큼 편하게 듣고싶었는데 대 실 패
64,이재숙,진로설정과경력개발,1,와... 차라리 상대평가로 이거 들었으면 뒤지고 싶었을듯이게 패논패인지 상대평가인지 헷갈릴정도의 대체과제차라리 시험보지
65,최진승,기초회로실험,5,실험 안빠지고 잘하면 충분히 실기 할수있고 필기는 프린트 보면됨 시험만 잘보면 된다고 하지만 매주 레포트 쓰는게 귀찮다고 안쓰면 나름 패널티있다고 생각함
66,정순철,회로이론1,3,강의 다운 강의 해주시고 모든 학생을 이해시키려는 노력이 보인다. 수업시작 시 그전에 배운 내용들 질문하는데 대답잘하면 + 어중간하면 패스 못하면 -
67,탁계래,생체신호및시스템,4,수업을 매우 열심히 들어야함쪽지시험 한번정도있고 매트랩시험 한번 중간기말이었음
68,이재숙,진로설정과경력개발,2,이거 자진해서 듣는 사람 내가 머리때려줌. 듣을 일이  생기거든 부디 수강신청 4학점 성공해서 듣는 것이여야한다. 이런 수업인줄 알았으면 내가 15학점을 채웠지 이걸 듣지는 않았을 것이다. 외국인 친구 이야기는 밑 후기에 잘 써있고 정말 과제 구토나온다. 패논패고 다른 진로설정이랑 공유하는 과목이니 거기서 거기일줄 알았더니 이거 듣는 놈 중 내가 제일 바쁘다. 하 과거로 돌아간다면 절대 내손으로 신청하지 않을것이다.
69,최진승,의공학기반해부생리학,4,프린트 외우고 수업시간에 중요하다는거 나옴해부학보단 생리학이 어려움
70,강주희,학교폭력예방및학생의이해,4,교수님 목소리 작으셔서 집중해서 귀 쫑긋하고 들어야되용시험문제는 열심시 교재로 공부하면 문제없습니당당
71,최엽,동양미술의이해,3,불교미술 안 좋아하시는 분이라면 힘들 듯 내가 그랬음 기말고사가 풍속화 조금 빼고는 다 불교미술이고 중간고사에도 조금 들어감 교수님은 열정 많으시고 열심히 하시는데 교안 파일이 불친절하고 그림 외워야 될 게 많아서 조금 힘들었음
72,김경자,진로설정과경력개발,4,패논패여서 부담 없고 좋았어용 중간 때는 레포트 대체과제였고 기말은 한 주제를 주시면 미리 작성해와서 시험장에서 옮겨적는 시험입니다
73,박종석,운동과건강관리,2,별로.. 수업도 그냥 ppt진행이신데 외울게 너무 많고 교양치고는 빡센듯
74,박희영,헬스앤휘트니스,1,강의계획서에 헬스한다고 적혀 있지 오티때도 헬스할것처럼 말하고 나서 막상 시작하고 여건안되서 에어로빅하는건 무슨심보죠?그럼 애시당초 헬스&휘트니스 말고 에어로빅이라고 하면 불만사항도 없을텐데... 심지어 실기가 에어로빅으로 보고 실기보기 전주에 헬스 몇동작 알려주고 구두시험도 본다고 하면... 수강생들을 너무 천재로 보는거 아닌가요...
75,노버트모반,KUGEP4(EnglishWriting),5,모의토익 쳐서 550만 넘는다면 꼭 들으세요 꼭 개꿀교양!!중간 기말시험 없는게 일단 부담감 제로고 단어시험도 없습니다과제는 종종 몇번 잇는데 리이팅 과제라서 금방 끝나고 시험도 대체과제인데 평소 과제 내주셨던거랑 거의 비슷합니다 수업은 평균적으로 3시간 중 2시간 안으로 끝납니다
76,송기문,ICT융합공학개론,3,"음 일단 수업이 굉장히 기계공학과는 거리가 멀고, 4차혁명에 대해 강의를 해주심. 교수님도 처음하시는 강의라고 하셔서 수업내용이 고등학교때 이미 배운듯한 내용이 많음. 동영상을 보는 날에는 감상평을 써야함. 수업시간 안으로"
77,강현규,웹프로그래밍,4,시험이나 강의는 괜찮은데 텀프로젝트가 3번이라 중간고사 끝나고도 하고 기말 전에도 하고 프로젝트 때문에 너무 힘들어요ㅠㅠㅠㅠㅠ
78,김숙경,대학화학,1,고등학교때 화2까지 배우고 온 사람으로써 공부 안하고 학점 받기는 개꿀이었음.하지만 그만큼 배워가는게 없고 기초중의 기초만 골라서 가르치고 문제냄학생들 배려한다고 쉽게하는거라고 하던데 시험문제에 '이론'의 정의 같은걸 낼 바엔 배려 안받고 좀 배워가는게 있었으면 좋겠음매 시간마다 수업과는 연관없는 교수님 얘기나 인생얘기나 취업얘기좀 그만 했으면 좋겠음듣는학생 거의 없고 시험 전주에 보강까지 잡아놓고 정규 시간에 취업특강 2시간이 말이 됨? 1학년한테 취업 특강하는 것도 이해 안됐고 시험 전주에 시간 없어서 보강시간 정해 놓고 수업을 안하는건 더 이해안됐음 취업준비하는 애들은 알아서 특강 찾아서 듣고 할텐데 혼자서 걱정된답시고 취업은 어쩌고 하시는데 정말 이해할 수 없었음대학화학이라는 수업 이름에 걸맞는 수업이 절대 아님웬만하면 이 수업을 피하길 바람.
79,장미경,테마별로배우는중국문화,4,학점 채울려고 우연히 들은 수업인데 만족. 교수님이 시험관련정보 자세히 알려주시고 과제도 최대한 부담 줄여줄려고 하심 교양으로 듣기 딱 적당했음
80,현종윤,기초통계학,1,정말 최악의 수업이었어요. 이과 문과 상관없습니다 진짜 제발 피하세요. 교재와 상관없는 부분도 너무 많고 계획없이 그냥 생각나는대로 하십니다.
81,김숙경,대학화학,5,앙~ 컨닝띠 앙~컨닝띠 앙~ 컨닝띠 앙~컨닝띠 앙~ 컨닝띠 앙~컨닝띠 앙~ 컨닝띠 앙~컨닝띠 앙~ 컨닝띠 앙~컨닝띠
82,신흥수,창조적아이디어발상법,3,음 뭐라 말하기 애매하네요.....중간은 레포트 대체에요
83,김영준,미래의과학,4,일단 시험이 ppt에서 거의 다 나오고 과제가 생각보단 귀찮긴하지만 무난하게 들을만한거같아요 a받기도 쉬운거같아요
84,양윤정,KUGEP2,3,적당히 그냥 그런 강의임. 그냥 괜찮은데 좀 수업이 많이 지루함....
85,최윤정,글쓰기,1,과제가 너무 많다. 매주 있는 것 같다. 시험 전주에 발표해서 좀 그렇다.
86,이향수,정보통신기술과스마트정부,3,그냥 ppt 읽어주신다. 몇번 읽고가면 문제풀수있음
87,박선화,KUGEP2,3,교수님 열정은 넘치셔서 좋습니다. 하지만 수업이 너무 빡세요.
88,양윤정,KUGEP2,4,그냥저냥 들을만 해요 수업 진도 나가는건 괜찮은데 자잘하게 귀찮은걸 좀 시키세요
89,고명철,컴퓨팅적사고,3,"세줄정리(극히 주관적)과제 많음과목자체는 나쁘지 않다다른교수님 강의 듣길과제가 매우 많은편이다.일단 중간고사때까지는 매 시간 퀴즈있어서 공부해 가야하고 기말까지는 사전학습이라고 이러닝처럼 듣고가야됨.수업은 중간까지는 듣고만 있어도 되지만 그 이후는 직접 실습처럼 해야되기 때문에 관련 학과들은 잘 하는편, 관련학과가 아니어도 못따라갈 것 까지는 아니지만 교수님 설명이 그렇게 자세하지는 않아서 조금 힘듦교수님 자체는 호불호가 많이 갈리는 스타일나는 불호쪽이었는데 모르는거 질문하거나 의견제시해서 교수님과  어긋나는 점이 있으면 바로 무시하고 그 자리에서 뭐라고 함.   예)그런것까지 해줘야 되냐,  전에 말하지 않았냐"
90,김숙경,대학화학,1,원래 강의평 잘 안쓰는데 진심으로 빡돌아서 씀 누가 이 수업 듣겠다고 하면 머리채잡고 뜯어말릴거임1. 컨닝한 학생 확실히 조치 안하고 오히려 감쌈 게다가 컨닝 방지한답시고 뭔 구술시험을 본다함ㅋㅋ 걍 그 사람만 F주면 되는거 아니냐고 하니 컨닝한 학생 범죄자 취급하지 말라 발언2. 설리 구하라 관련해서도 망언함 자기가 걔네처럼 예뻤으면 안죽었을거다? 라는식으로 얘기함 얼탱이가 없음3. 그 외에도 기타 성차별발언 오지게함4. 시험범위 조절도 못함 중간고사 1~7강 기말고사 8~21강임 걍 내내 Tmi 오지게 하다가 진도는 빼야한답시고 하루만에 12~18강까지 나간 결과물5. 교수인데 문제도 못 품 오히려 학생이 풀어줬는데도 이해 못해서 그냥 지나감ㅋㅋ걍 절대 듣지 마세요 등록금 아까움
91,김정환,컴퓨터프로그래밍,4,전선B로 들었던 수업인데 어렵긴 하지만 시험보다도 평소 실습이랑 과제도 성적에 크게 들어가서 출결 꼼꼼하게 하셔야 해요. 학생들이 포기하지 않도록 실습도 못따라오는 사람 하나하나 봐주시는거 너무 좋았어요 피피티로 수업하셔서 책은 굳이는 필요없으나 책이 필요할일이 반드시 있을거니까 웬만해서구입해두세요....
92,김해룡,마케팅,4,교수님은 되게 좋으신분인데 수업 꼼꼼히 들으셔야 하고 아래 강의평처럼 피피티가 너무 간단히 되어 있어서 필기를 미친듯이 하시거나 녹음할걸 권유드립니다 요번학기만 그런진 모르겠으나 시험은 어려운건 아니지만 정말 세세한데에서 나오기도 해서 쉬운건 아닌거 같아요 평균이 높지는 않는거 같은데 정홛하지 않더라도 뭐라도 적으면 점수는 받을수 있을거에요. 개념도 중요하지만 개념에 대한 예시도 함께 공부해야 하고 양이 적어보이지만 생각보다 많아서 흐름을 이해하는거도 중요해요조별과제는  중간고사 끝나고랑 기말  최종발표 있는데 발표할때 되도록 잘봐주시려는 모습이 좋았습니다 다음에 또 들을의향있어여
93,박해선,미시경제학,3,다전공인데 내용이 워낙 어려워서 정말 많이 고생하셔야 합니다교수님은 책읽어주는 남자라서 진도 훅훅빼십니다수업시간마다 시험 찝어주는데 찝어주는 거 이외의 내용까지 보기에는 양이 너무 막막해서 찝어주는거 꼼꼼히 체크하셔야 하고 찝어주는 근처에서 대부분 나오는데 그것도 양이 절대 무시못할양이에요그리고 매단원마다 찝어주는 연습문제 무조건 풀고 가야하는게 거기서 배점이 4-50점 이상 서술형으로 나와요
94,오가영,무역영어,4,"1학기때 무역상무론에서 배우는 내용의 심화과목이라 무역상무론을 반드시 선수강해야 따라가기 수월합니다. 무역영어라 해서 겁먹을 필요는 없는거 같아요.  이외에 프린트 나눠주신거랑 필기에서 시험 많이 나오니까 받아적으라는거 다 적으시고 프린트도 꼼꼼히 보세요. 시험은 객관식이랑 주관식(괄호 채우기, 딱 떨어지는 답 쓰기)로 나오지만 내용이 어려워서 시험평균은 상당히 낮은 편이라 점수가 생각보다 안나와도 점수에 연연해하지 마시고 끝까지 성실히 열심히 하면 B+~A 이상 나와요"
95,이선주,바이오융합과학개론,3,"이 수업을 들으면서 대학에 온 걸 후회했다... 차라리 대기화, 대기생을 전공으로 하는게 더 나을수도"
96,이미정,문학의고전,4,"수업마다 활동?같은게 많아서 좀 피곤한 스타일이긴한데, 수업자체는 재미있었어요!"
97,박우식,KUGEP1,5,교수님이 수업은 좋은데 약간 지루한 느낌이 있어요.
98,이동욱,철학의고전,5,"아무것도 모르는 1학년 1학기때 수강평 믿고 신청한 수업인데 진짜 최고. 그냥 철학자에 대해서 배우는 그런 수업이 아니라, 철학자가 왜 그런 생각을 했을까? 를 알게해주는 수업. 수업 중 학생들한테 질문 던지고 학생분이 대답하면 그거에 대해서 조목조목 반박하시기도 하는데 뒤에서 듣고있으면 진짜 ""정말 그렇네? 우리의 생각이 틀렸네????""하고 깨닫게 되는.... 진짜 정말 재밌는 수업. 다만 개인적으로는 수업 끝나고 조별로 모여서 발표 준비하고 가끔 발표하기도 하는게 좀 괴롭긴 했음."
99,손윤이,서양미술의이해,5,디자대생인데 역시 수강신청하길 잘한 것 같습니다. 그렇지만 미술하시는 분이 아니어도 수업 듣기에 무리 없을 것 같습니다. 이야기 듣듯이 술술 들어옵니다. 교수님께서 워낙 이야기를 재밌게 하셔서요. 후회 없는 수업.
100,김찬자,프랑스어기초,5,프랑스어에 무지한 사람이라도 교수님 수업 들으시면 쉽게 공부하실 수 있어요. 시험은 단어 문장 다 외우셔야 점수 잘 받을 수 있습니다..
101,김병건,글쓰기,4,교수님 너무 귀엽고 좋으세요! 항상 학생들 생각하시는게 눈이 보입니다.
102,양지,세계의정원,5,암기 잘 하시면 추천해요. 시험 전에 찝어주시긴 하는데 점수 잘 받고 싶으시면 다 공부해야해요
103,이웅혁,범죄예방론,5,저는 이교수님 좋은데 호불호 갈리는건 확실한거 같아요학점도 중요하긴 하나 무엇보다 수업을 재미있게 하시는 편
104,김범수,3D프린팅과미래생활,1,무슨 뇌피셜  400페이지가까히적어둔 옛날책으로 수업하는데 횡설수설 기말범위 싹다 발표로대체 시험공부 어케해야할지 감도안잡힘
105,이웅혁,범죄예방론,1,그냥 교수님이 성적에 그다지 관심이 없는 게 보임기말고사가 발표 형식으로 진행됐는데 일주일 전에 통보또 발표 일주일 전 공지한 채점기준도 발표 당일이 되니 부분부분 바뀌어 첫 날 발표한 조만 크게 손해봄거기에 교수가 조정을 해주거나 설명이 필요한 부분도 언급이 없는 경우가 많음결론: 교수가 관심이 없어서 형평성은 개나줘버렸으니 성적을 랜덤뽑기로 얻어보고 싶다면 도전해보시오
106,김영주,디지털미디어의이해,4,마음 여리신 착한 교수님. 하지만 시험문제는 1학년 수준이 아닌.... 전 신방이 아니라 어질어질 힘들었어요..
